model,tier,layer,cosine,causal_similarity,causal_projection
C2,explicit,10,0.3367660050885752,-0.25114108198961793,-192.53327864390133
C2,explicit,12,0.27643762481515294,-0.7191616224278695,-581.5674659084144
C2,explicit,14,0.267008394143777,-0.7757763098923678,-622.3709563962453
C2,explicit,16,0.2425072340189945,-0.7939683407575167,-740.4679543549346
C2,explicit,18,0.2417011591431219,-0.8329490564011454,-836.7249943339152
C2,explicit,20,0.2882407820806839,-0.8049281435009277,-884.0126986900409
C2,explicit,22,0.22208135890658012,-0.8417768313047715,-1580.081634988388
C2,explicit,24,0.04034590311697684,-0.867949651984318,-2632.9596284984527
C2,explicit,27,0.05817706897389144,-0.8341317708594138,-5833.690555386636
C2,token_adjacent,0,-0.1856505095725879,-0.14462152043982215,-0.6571981719262907
C2,token_adjacent,2,-0.03255814346892293,0.6625590115049177,169.79768398946987
C2,token_adjacent,4,0.0007156944903545082,0.5675133070452932,171.1021133407357
C2,token_adjacent,6,-0.04340388720331248,0.1288059179162438,63.82495019653528
C2,token_adjacent,8,0.009503870285116137,0.5778683501373119,360.9226798218876
C2,token_adjacent,10,-0.034832007684162815,-0.38441253571016776,-301.72225972802534
C2,token_adjacent,12,-0.1126032428065082,-0.8214037615551133,-818.3471427363853
C2,token_adjacent,14,-0.12334964767214843,-0.8879341569909375,-992.151192639466
C2,token_adjacent,16,-0.14374016744084656,-0.8877785836173231,-1183.882080237508
C2,token_adjacent,18,-0.1516299602109939,-0.9170575007078887,-1345.4655239202687
C2,token_adjacent,20,-0.15539889991516248,-0.9187785573332979,-1734.6802125241882
C2,token_adjacent,22,-0.15719900841941126,-0.9048087755075127,-2629.472840904629
C2,token_adjacent,24,-0.3298611136572436,-0.970391609049602,-5455.140947479876
C2,token_adjacent,27,-0.39828520694281905,-0.9827495644960416,-13045.81150667648
C2,concept_adjacent,0,-0.226683186875307,-0.18954078667974106,-0.8622632390704702
C2,concept_adjacent,2,-0.0786834585131146,0.6382722405019041,171.45294934989334
C2,concept_adjacent,4,-0.04869855802040547,0.5290474012583403,165.07464678712466
C2,concept_adjacent,6,-0.09344835163501557,0.10773985474013842,57.505812835339526
C2,concept_adjacent,8,-0.03327213462325744,0.5719658072000797,366.2470381941194
C2,concept_adjacent,10,-0.08118678623693995,-0.4008003011072164,-323.4816018832555
C2,concept_adjacent,12,-0.1646479488653131,-0.8329313823158887,-849.5818738408119
C2,concept_adjacent,14,-0.17897978430613876,-0.8990583652148785,-1004.012623629314
C2,concept_adjacent,16,-0.2128392317891121,-0.898542146897528,-1197.8366206463463
C2,concept_adjacent,18,-0.2287310646660626,-0.9287059433675262,-1394.9023331804244
C2,concept_adjacent,20,-0.24384123886004092,-0.9312301952696791,-1844.998045961405
C2,concept_adjacent,22,-0.23937700715847313,-0.9135913858891063,-2800.6187024924425
C2,concept_adjacent,24,-0.4018618419766426,-0.9814646556039114,-5936.6388444254735
C2,concept_adjacent,27,-0.47695763658732176,-0.9887561447144736,-14054.731021477164
C2,weakly_adjacent,0,-0.2070932668133173,-0.17717480900672772,-0.790943691964981
C2,weakly_adjacent,2,-0.06572056317760143,0.633625765867562,164.7315355299204
C2,weakly_adjacent,4,-0.03975387395650614,0.5384229447082567,162.25966934300234
C2,weakly_adjacent,6,-0.07759274769661716,0.11385230658748484,59.047162755864875
C2,weakly_adjacent,8,-0.0270225032127928,0.5566917531560397,352.7093226913446
C2,weakly_adjacent,10,-0.07272954459564061,-0.3966263692642157,-311.7758235570017
C2,weakly_adjacent,12,-0.15481942639918997,-0.8290743865888399,-845.0206976690389
C2,weakly_adjacent,14,-0.17055284533184023,-0.8971752458068768,-1025.896695574991
C2,weakly_adjacent,16,-0.1932798953074962,-0.8957865662273232,-1212.1182893860048
C2,weakly_adjacent,18,-0.20524146443698554,-0.926043601706105,-1391.0382129946136
C2,weakly_adjacent,20,-0.2143931483430788,-0.9273850565010795,-1801.7751970406182
C2,weakly_adjacent,22,-0.21447260098066181,-0.9088105428020498,-2635.489526697538
C2,weakly_adjacent,24,-0.3735101514775306,-0.9778927376409108,-5596.329755374847
C2,weakly_adjacent,27,-0.4521172607317567,-0.9877740295353231,-13508.759990092707
C2,negated,0,-0.1120939032919705,-0.09160209241026704,-0.41420903754212246
C2,negated,2,0.023174667792045512,0.6994173201727056,193.63685618753422
C2,negated,4,0.045213291601394305,0.5967158587484839,194.48918692335965
C2,negated,6,0.020739145640400237,0.15051420153261014,83.65030411258935
C2,negated,8,0.08552732256008312,0.6177911282614524,438.46806618631877
C2,negated,10,0.02446785928303143,-0.37446660867142617,-331.25788864294475
C2,negated,12,-0.044566720750299285,-0.8176642824321546,-859.6077230173922
C2,negated,14,-0.05567462894832716,-0.8833258402085832,-959.590447098233
C2,negated,16,-0.08391540212265682,-0.8847603988157863,-1173.7926042230188
C2,negated,18,-0.10044363424181939,-0.9162316038286559,-1367.6212177547332
