model,tier,layer,cosine_sim
C2,explicit,8,-0.38397835291922094
C2,explicit,16,-0.32308025903999804
C2,explicit,20,-0.07794407772831619
C2,token_adjacent,3,-0.33737450212240216
C2,token_adjacent,8,-0.38028301782906054
C2,token_adjacent,16,-0.3329231744259596
C2,token_adjacent,20,-0.26733134880661963
C2,concept_adjacent,3,-0.34005247950553896
C2,concept_adjacent,8,-0.38315485522150994
C2,concept_adjacent,16,-0.3355969489365816
C2,concept_adjacent,20,-0.2757758963108063
C2,weakly_adjacent,3,-0.3404198507219553
C2,weakly_adjacent,8,-0.3811365210264921
C2,weakly_adjacent,16,-0.3360633678734303
C2,weakly_adjacent,20,-0.27720684740692375
C2,negated,3,-0.3338538698852062
C2,negated,8,-0.38622164897620676
C2,negated,16,-0.3424809780716896
C2,negated,20,-0.26771880220621824
C2,neutral,3,-0.3407671183347702
C2,neutral,8,-0.38865651354193687
C2,neutral,16,-0.35082989804446696
C2,neutral,20,-0.2881745773181319
C2,_steepness,3,0.012627551406621917
C2,_steepness,8,0.004678160622715921
C2,_steepness,16,0.027749639004468918
C2,_steepness,20,0.2102304995898157
RRD2,explicit,3,-0.3320655795186758
RRD2,explicit,8,-0.3949326454102993
RRD2,explicit,16,-0.3336506647616625
RRD2,explicit,20,-0.10768518866039813
RRD2,token_adjacent,3,-0.33826394014060496
RRD2,token_adjacent,8,-0.3893218106031418
RRD2,token_adjacent,16,-0.34027028158307077
RRD2,token_adjacent,20,-0.2696083495020866
RRD2,concept_adjacent,3,-0.3403902651369572
RRD2,concept_adjacent,8,-0.39205307222902774
RRD2,concept_adjacent,16,-0.3434769377112389
RRD2,concept_adjacent,20,-0.28142609670758245
RRD2,weakly_adjacent,3,-0.340823627114296
RRD2,weakly_adjacent,8,-0.3901780398190022
RRD2,weakly_adjacent,16,-0.3433177050203085
RRD2,weakly_adjacent,20,-0.28176528092473746
RRD2,negated,3,-0.33627225674688815
RRD2,negated,8,-0.3959737265110016
RRD2,negated,16,-0.3458237393945456
RRD2,negated,20,-0.2642957100644708
RRD2,neutral,3,-0.34115730464458466
RRD2,neutral,8,-0.39674002841114997
RRD2,neutral,16,-0.35645433589816095
RRD2,neutral,20,-0.2917015393823385
RRD2,_steepness,3,0.009091725125908834
RRD2,_steepness,8,0.0018073830008506486
RRD2,_steepness,16,0.02280367113649845
RRD2,_steepness,20,0.1840163507219404
RRDN4-b50,explicit,3,-0.3325711089372635
RRDN4-b50,explicit,8,-0.3930312805622816
RRDN4-b50,explicit,16,-0.3377590560168028
RRDN4-b50,explicit,20,-0.10838471006602049
RRDN4-b50,token_adjacent,3,-0.3384615868330002
RRDN4-b50,token_adjacent,8,-0.38727749198675154
RRDN4-b50,token_adjacent,16,-0.3395259526371956
RRDN4-b50,token_adjacent,20,-0.2620699802413583
RRDN4-b50,concept_adjacent,3,-0.34023042149841787
RRDN4-b50,concept_adjacent,8,-0.38944787681102755
RRDN4-b50,concept_adjacent,16,-0.34182004563510415
RRDN4-b50,concept_adjacent,20,-0.2754626516252756
RRDN4-b50,weakly_adjacent,3,-0.3406441040337086
RRDN4-b50,weakly_adjacent,8,-0.38785381510853767
RRDN4-b50,weakly_adjacent,16,-0.34187695138156415
RRDN4-b50,weakly_adjacent,20,-0.2754475387185812
RRDN4-b50,negated,3,-0.3368295108526945
RRDN4-b50,negated,8,-0.3943496636301279
RRDN4-b50,negated,16,-0.3469240065664053
RRDN4-b50,negated,20,-0.2735817216336727
RRDN4-b50,neutral,3,-0.34096607111394406
RRDN4-b50,neutral,8,-0.39472061082720755
RRDN4-b50,neutral,16,-0.35129823051393033
RRDN4-b50,neutral,20,-0.27887195970863105
RRDN4-b50,_steepness,3,0.008394962176680565
RRDN4-b50,_steepness,8,0.001689330264925959
RRDN4-b50,_steepness,16,0.013539174497127549
RRDN4-b50,_steepness,20,0.17048724964261056
RRDNS4-b50,explicit,3,-0.3325401053577661
RRDNS4-b50,explicit,8,-0.39224357284605504
RRDNS4-b50,explicit,16,-0.3364505235850811
RRDNS4-b50,explicit,20,-0.10843923967331648
