model,tier,layer,cosine_sim
C2,explicit,8,-0.37668018937110903
C2,explicit,16,-0.31803810231387614
C2,explicit,20,-0.07925601885188371
C2,token_adjacent,3,-0.32396915085613726
C2,token_adjacent,8,-0.37247010849416257
C2,token_adjacent,16,-0.3213548269867897
C2,token_adjacent,20,-0.2613557404652238
C2,concept_adjacent,3,-0.3264954286068678
C2,concept_adjacent,8,-0.3753061766922474
C2,concept_adjacent,16,-0.3239451414346695
C2,concept_adjacent,20,-0.26974826395511625
C2,weakly_adjacent,3,-0.32698056355118754
C2,weakly_adjacent,8,-0.373121086359024
C2,weakly_adjacent,16,-0.3238688989728689
C2,weakly_adjacent,20,-0.2711354389414191
C2,negated,3,-0.3207575923204422
C2,negated,8,-0.3787370704114437
C2,negated,16,-0.3339656212925911
C2,negated,20,-0.26740902960300444
C2,neutral,3,-0.32749380864202976
C2,neutral,8,-0.38047225870192053
C2,neutral,16,-0.3379879258573055
C2,neutral,20,-0.2796833836659789
C2,_steepness,3,0.012512481808662435
C2,_steepness,8,0.0037920693308114983
C2,_steepness,16,0.01994982354342939
C2,_steepness,20,0.20042736481409518
RRD2,explicit,3,-0.34471973180770876
RRD2,explicit,8,-0.42097783371806147
RRD2,explicit,16,-0.22879453286528587
RRD2,explicit,20,0.00962731199513655
RRD2,token_adjacent,3,-0.3503721132874489
RRD2,token_adjacent,8,-0.4130519723892212
RRD2,token_adjacent,16,-0.2885047061368823
RRD2,token_adjacent,20,-0.24047032848000527
RRD2,concept_adjacent,3,-0.35241919726133347
RRD2,concept_adjacent,8,-0.4160022432357073
RRD2,concept_adjacent,16,-0.294181704595685
RRD2,concept_adjacent,20,-0.25989227373152973
RRD2,weakly_adjacent,3,-0.3528619625419378
RRD2,weakly_adjacent,8,-0.41371034272015095
RRD2,weakly_adjacent,16,-0.2941082037240267
RRD2,weakly_adjacent,20,-0.2573934591002762
RRD2,negated,3,-0.34888280168175695
RRD2,negated,8,-0.4212091039866209
RRD2,negated,16,-0.26364691387861966
RRD2,negated,20,-0.21760048849508165
RRD2,neutral,3,-0.3532229859381914
RRD2,neutral,8,-0.4214291990548372
RRD2,neutral,16,-0.3014063286781311
RRD2,neutral,20,-0.26530259758234026
RRD2,_steepness,3,0.00850325413048264
RRD2,_steepness,8,0.0004513653367757553
RRD2,_steepness,16,0.07261179581284524
RRD2,_steepness,20,0.2749299095774768
RRDN4-b50,explicit,3,-0.3142680098861456
RRDN4-b50,explicit,8,-0.39886401548981665
RRDN4-b50,explicit,16,-0.28617161989212037
RRDN4-b50,explicit,20,-0.06359203162835911
RRDN4-b50,token_adjacent,3,-0.31972499310970304
RRDN4-b50,token_adjacent,8,-0.39199407495558264
RRDN4-b50,token_adjacent,16,-0.29779766395688057
RRDN4-b50,token_adjacent,20,-0.2447519452869892
RRDN4-b50,concept_adjacent,3,-0.32150116957724095
RRDN4-b50,concept_adjacent,8,-0.3944326939433813
RRDN4-b50,concept_adjacent,16,-0.30108667008578777
RRDN4-b50,concept_adjacent,20,-0.26277462162077425
RRDN4-b50,weakly_adjacent,3,-0.32192426815629005
RRDN4-b50,weakly_adjacent,8,-0.39256000369787214
RRDN4-b50,weakly_adjacent,16,-0.3008777280151844
RRDN4-b50,weakly_adjacent,20,-0.26186584308743477
RRDN4-b50,negated,3,-0.3185122300684452
RRDN4-b50,negated,8,-0.3997295592725277
RRDN4-b50,negated,16,-0.3013618243485689
RRDN4-b50,negated,20,-0.2544904896616936
RRDN4-b50,neutral,3,-0.3223814860731363
RRDN4-b50,neutral,8,-0.4001334863901138
RRDN4-b50,neutral,16,-0.3082212095707655
RRDN4-b50,neutral,20,-0.26203039325773714
RRDN4-b50,_steepness,3,0.008113476186990709
RRDN4-b50,_steepness,8,0.001269470900297165
RRDN4-b50,_steepness,16,0.02204958967864512
RRDN4-b50,_steepness,20,0.19843836162937803
RRDNS4-b50,explicit,3,-0.28910090036690234
RRDNS4-b50,explicit,8,-0.3917901682853699
RRDNS4-b50,explicit,16,-0.2543256724625826
RRDNS4-b50,explicit,20,-0.04249289087223587
