model,position,tier,layer,cosine,causal_similarity,causal_projection
C2,0,weakly_adjacent,0,-0.20529326840187423,-0.1651519569596982,-0.7547798418071744
C2,0,weakly_adjacent,8,-0.08576836025167722,-0.07374355990749742,-31.67481769705803
C2,0,weakly_adjacent,16,-0.13297049376065842,-0.8596292813271308,-1118.890572913554
C2,0,weakly_adjacent,27,-0.38146393580362203,-0.9849785252238429,-13448.257971736502
C2,0,negated,0,-0.18856938257464206,-0.16073219945665013,-0.7299236666951888
C2,0,negated,8,-0.05121621468744706,-0.05953930804274588,-26.0756235504618
C2,0,negated,16,-0.0993931436011917,-0.8580561493296193,-1147.675798232925
C2,0,negated,27,-0.37887733057141304,-0.9861300663376249,-13709.117523996285
C2,0,neutral,0,-0.19767791800084525,-0.1623606894120212,-0.7377043820433681
C2,0,neutral,8,-0.07920737879059743,-0.06947842685624735,-30.768330019132627
C2,0,neutral,16,-0.13331525138928554,-0.8613703074443013,-1161.9626474170245
C2,0,neutral,27,-0.385054460093379,-0.9859571157501997,-13690.145931953755
C2,1,explicit,0,0.03582981507992372,0.049775188514524976,0.1641983954289124
C2,1,explicit,8,0.15415928979055024,-0.641645669091875,-321.79696364709247
C2,1,explicit,16,0.019590260059339927,-0.8975900200875226,-932.5220817647095
C2,1,explicit,27,-0.03808656610082835,-0.9539232770693551,-9222.221179221535
C2,1,token_adjacent,0,-0.1830999290937325,-0.1519708470132789,-0.6849052929198075
C2,1,token_adjacent,8,-0.17083691578591242,-0.8455109660521622,-571.2340380252462
C2,1,token_adjacent,16,-0.2653171543264762,-0.951216721187533,-1343.0711871308292
C2,1,token_adjacent,27,-0.42512204360216854,-0.9883012597181181,-14091.210327455854
C2,1,concept_adjacent,0,-0.19081360519165172,-0.14810133921928464,-0.6633753484518357
C2,1,concept_adjacent,8,-0.18203555568528829,-0.8563706378623479,-585.5547188475823
C2,1,concept_adjacent,16,-0.27654970542062074,-0.9525668558100644,-1366.4689197874861
C2,1,concept_adjacent,27,-0.43772763848304747,-0.9883693720097972,-14289.453906721285
