model,position,tier,layer,cosine,causal_similarity,causal_projection
base,3,weakly_adjacent,16,0.05211078021209687,0.7953835280466552,1129.4797158386227
base,3,weakly_adjacent,27,0.07454456097621005,0.8181789991871478,11278.82673034208
base,3,negated,0,0.0019828541064634917,-0.020681766608476995,-0.09844827588281901
base,3,negated,8,-0.022824554821127094,-0.21248792662768565,-155.76133564927915
base,3,negated,16,0.043842424992471936,0.7896980861611698,1070.662933006419
base,3,negated,27,0.06266295825364068,0.8184907716607875,10924.087729659519
base,3,neutral,0,0.001040874202735722,-0.022546093151050477,-0.10607513273407619
base,3,neutral,8,-0.032716229705339564,-0.2163303384046743,-161.82560758079936
base,3,neutral,16,0.03536495990652059,0.7893924283934384,1099.1867688292646
base,3,neutral,27,0.06329819996176021,0.8185840702344035,11259.441323255805
base,4,explicit,0,0.06312683002557605,0.05558038687076491,0.23265995274629148
base,4,explicit,8,0.05882632872206159,0.6792550942116808,488.3516122299341
base,4,explicit,16,0.13567802991368808,0.909234362897453,1286.391499542417
base,4,explicit,27,0.23534228693228215,0.9563574800122134,13588.007801312315
base,4,token_adjacent,0,0.046079024078790096,0.03510545598635446,0.1412485095345461
base,4,token_adjacent,8,0.024466497117537074,0.6622371878180582,481.0613642634915
base,4,token_adjacent,16,0.08958152812178014,0.9018723164874696,1247.0726517533346
base,4,token_adjacent,27,0.18414775207289494,0.9533803885524766,13233.223399518682
base,4,concept_adjacent,0,0.04207058501575375,0.036046823248204456,0.1449490586233818
base,4,concept_adjacent,8,0.023016431065625512,0.6528095539941436,475.3052244358379
base,4,concept_adjacent,16,0.08926466179371345,0.9014186661774758,1249.3249049836024
base,4,concept_adjacent,27,0.18634011131478473,0.9535433698177453,13225.19967948677
base,4,weakly_adjacent,0,0.04507365906261839,0.03648572113359787,0.14651002331392704
base,4,weakly_adjacent,8,0.02439393103471957,0.6644023177818039,491.73610199768694
base,4,weakly_adjacent,16,0.08916857169650029,0.9044243075760875,1293.5376464230562
base,4,weakly_adjacent,27,0.1799443075491581,0.9526750255713253,13118.099654794316
base,4,negated,0,0.060256926817528436,0.059415328428333095,0.2426664202031735
base,4,negated,8,0.03072041851541144,0.6686081165456068,481.56750738847376
base,4,negated,16,0.09102768305514473,0.9032435424728276,1255.5772587632578
base,4,negated,27,0.1740433766890783,0.953188531336198,12935.664893482352
base,4,neutral,0,0.0452300287543663,0.03854393689539147,0.15373230528740256
base,4,neutral,8,0.018337722733350735,0.65982708708965,475.31146695985524
base,4,neutral,16,0.07769645091146231,0.9034983120485497,1265.545926776443
base,4,neutral,27,0.16692070399277978,0.9522070761268313,13025.965861377363
C2,0,explicit,0,0.03738870079803746,-0.058307276657949124,-0.2997047207271441
C2,0,explicit,8,-0.03713569305473356,0.18333613985850825,110.41758208782026
C2,0,explicit,16,0.012780632986105047,-0.3774811644719754,-517.0404563967949
C2,0,explicit,27,0.0896294177803793,0.5865917734813201,8222.111958495421
C2,0,token_adjacent,0,-0.04738491511438042,-0.0977960758067333,-0.4419935672257236
C2,0,token_adjacent,8,-0.06239986691565719,0.1862925960289142,106.10158569326939
C2,0,token_adjacent,16,-0.03845234035339672,-0.3801739404716701,-498.0716178710264
C2,0,token_adjacent,27,0.0278570972054149,0.5803578456968015,7965.965125080908
C2,0,concept_adjacent,0,-0.06253849164117127,-0.11926637485854086,-0.5430852048061611
C2,0,concept_adjacent,8,-0.07531995819881558,0.1795941704674298,102.70780152196389
C2,0,concept_adjacent,16,-0.048104992840380875,-0.3836141466678052,-511.1092474719597
C2,0,concept_adjacent,27,0.024658544824633283,0.5801689415395408,8087.023242468084
C2,0,weakly_adjacent,0,-0.06179801508609671,-0.12373709243499995,-0.5683321779076855
C2,0,weakly_adjacent,8,-0.08581690889026504,0.17302229479177733,102.09581587722927
C2,0,weakly_adjacent,16,-0.06042697574186604,-0.38817711389931675,-531.596186010645
C2,0,weakly_adjacent,27,0.01913241515227128,0.5796741668808887,8215.627663590445
C2,0,negated,0,-0.06400359565974213,-0.0972010638046402,-0.4325843667121706
C2,0,negated,8,-0.05052795597002842,0.18989664757039612,109.6917579344151
C2,0,negated,16,-0.035840541817015036,-0.3790368540799845,-504.3976864285318
C2,0,negated,27,0.006386218826810364,0.5780708508258221,7583.426393661537
C2,0,neutral,0,-0.07637979007459113,-0.11952067989308411,-0.5320805749549571
C2,0,neutral,8,-0.0850591816074614,0.17679992372338915,109.66160115301722
C2,0,neutral,16,-0.06458307907816821,-0.3881946300653119,-540.1482389335878
C2,0,neutral,27,0.0041022949246689675,0.5781818889748102,8136.942637079829
C2,1,explicit,0,0.010005323115037754,0.013222768018112072,0.07309785511273323
C2,1,explicit,8,-9.269640664570033e-05,0.3114548377453677,215.42557413089241
C2,1,explicit,16,0.03625765493023209,0.8101618166122012,1180.737440906124
C2,1,explicit,27,0.10566142427560407,0.747236945539861,10393.115305880661
C2,1,token_adjacent,0,0.03467484905966558,-0.0010490720482567804,0.03232604291510259
C2,1,token_adjacent,8,-0.01905940502299927,0.30651582574423425,212.00693253277635
C2,1,token_adjacent,16,-0.007781084619928151,0.7988239061300928,1151.7172565738135
C2,1,token_adjacent,27,0.054709714328637346,0.7432344204510195,10733.955351424622
C2,1,concept_adjacent,0,0.0189422094845213,-0.010778820271800835,-0.012460518471394556
C2,1,concept_adjacent,8,-0.027901872269576414,0.30486740645358595,215.11569441216966
C2,1,concept_adjacent,16,-0.014877398031530901,0.799856437848598,1163.1826615672096
C2,1,concept_adjacent,27,0.04902349982701708,0.742613600082361,10736.366382194841
C2,1,weakly_adjacent,0,0.017633745776256548,-0.009373202904884864,-0.013653376479080968
C2,1,weakly_adjacent,8,-0.02918100667418912,0.3055729794040704,216.0757842475728
C2,1,weakly_adjacent,16,-0.01987766291189473,0.798799383003554,1162.7109986861108
