model,tier,layer,cosine,causal_similarity,causal_projection
C1,token_adjacent,4,-0.0013560692477039994,0.17288903819739296,46.470119166532044
C1,token_adjacent,6,-0.022328207392711193,0.5726591839984558,228.1344647470989
C1,token_adjacent,8,-0.0008597883919719606,0.5724631206071225,251.9713367689285
C1,token_adjacent,10,0.043563489026855674,0.49584195633990696,315.30666178180877
C1,token_adjacent,12,-0.011443248701980338,-0.6908769063486782,-666.2347812036713
C1,token_adjacent,14,-0.010272244599182159,-0.7833209008195411,-858.2516507737254
C1,token_adjacent,16,-0.0789189523580717,-0.9050375758019175,-1095.376064750558
C1,token_adjacent,18,-0.03571940979803912,-0.85642606752169,-1191.5808931482816
C1,token_adjacent,20,-0.07113743025809527,-0.8869012402215471,-1248.1085918340295
C1,token_adjacent,22,-0.10689524857094511,-0.8789588518169913,-1657.4855411646174
C1,token_adjacent,24,-0.13746132083411794,-0.8866359584840228,-2898.3626977539175
C1,token_adjacent,27,-0.21422101225238294,-0.9737773395727771,-10181.088889625014
C1,concept_adjacent,0,-0.07824646157212556,-0.10739994290217635,-0.48888886452522845
C1,concept_adjacent,2,-0.0006520420149900019,0.6229561126458855,154.1969937104956
C1,concept_adjacent,4,-0.011198866746854037,0.16777051783001404,47.298690102675344
C1,concept_adjacent,6,-0.032100302022881805,0.571211042466111,239.44591208799062
C1,concept_adjacent,8,-0.005856936365598813,0.575569134627427,274.39737268452814
C1,concept_adjacent,10,0.03304425168433227,0.49138218495585984,321.69161953296265
C1,concept_adjacent,12,-0.01863523291191086,-0.6920571917060906,-656.4046876364483
C1,concept_adjacent,14,-0.01570440260169562,-0.7835004605384367,-837.3560248367884
C1,concept_adjacent,16,-0.08074507583747619,-0.9041624846263174,-1072.2774345395521
C1,concept_adjacent,18,-0.035885318123328035,-0.8554431377430259,-1161.8899825193969
C1,concept_adjacent,20,-0.07504968046036083,-0.8891549152132234,-1289.8571018102293
C1,concept_adjacent,22,-0.1075234212729265,-0.8886461772391625,-1786.190571721822
C1,concept_adjacent,24,-0.15154624112299644,-0.884428682846217,-3179.8767366211932
C1,concept_adjacent,27,-0.22576666798675432,-0.97330495550102,-10559.897479328676
C1,weakly_adjacent,0,-0.07894039730308577,-0.1202271504425572,-0.5442890963213101
C1,weakly_adjacent,2,-0.0050533965555951,0.6180262881149049,150.62117890781872
C1,weakly_adjacent,4,-0.01435358362039551,0.1650237305828945,45.97499068265282
C1,weakly_adjacent,6,-0.03663055493030697,0.5682563548775734,230.30818417734045
